глагол,общая_частота
ostareti,18
zažmuriti,18
čujno,18
stisnuti,18
čisto,18
slaviti,18
treperiti,18
diviti,18
naručiti,18
neverovatno,18
opravdati,18
privremeno,18
zveckati,18
porušiti,18
stresti,18
premeštati,18
zabrinuto,18
najuriti,18
iskopati,18
odležati,18
ujesti,18
prepisivati,17
nicati,17
zanoćiti,17
miriti,17
surovo,17
prevaliti,17
poticati,17
klečati,17
osvajati,17
ostvarivati,17
zamrsiti,17
oploditi,17
uplesti,17
zapažati,17
uzdrhtati,17
zabiti,17
brijati,17
tvrdo,17
rastaviti,17
rasterati,17
ispitati,17
poterati,17
nizati,17
mesiti,17
podražavati,17
prozboriti,17
potonuti,17
strčati,17
opiti,17
prethoditi,17
zasluživati,17
podržavati,17
odgurnuti,17
pouzdano,17
pokoriti,17
doprijeti,17
sastati,17
dejstvovati,17
naopako,17
ograditi,17
ispisivati,17
nastupati,17
složno,17
zainteresovati,17
priljubiti,17
žurno,17
otpratiti,17
unaokolo,17
urezati,17
opljačkati,17
pucketati,17
svađati,17
zapustiti,17
potruditi,17
našaliti,17
malopre,17
pretresati,17
prinuditi,17
prsnuti,17
spojiti,17
svitati,17
naložiti,17
unazad,17
razumevati,17
češljati,17
zasuti,17
pobrinuti,17
naga,17
stegnuti,17
bližiti,17
udesno,17
iskazati,17
raspaliti,17
obuzimati,17
primetno,17
pokorno,17
prezirati,17
pomilovati,17
razdeliti,17
sprovesti,17
navaljivati,17
umorno,17
pjevati,16
opominjati,16
navirati,16
nesvesno,16
posećivati,16
vidno,16
razliti,16
poseći,16
izostati,16
zatočiti,16
pričiniti,16
obreti,16
motati,16
trovati,16
iscediti,16
uzaludno,16
ječati,16
začudo,16
obezbediti,16
gajiti,16
prikriti,16
zavesti,16
neumoljivo,16
nikuda,16
preleteti,16
potrajati,16
preblediti,16
prisloniti,16
obavljati,16
nemo,16
sevati,16
pretio,16
povećavati,16
poćutati,16
odvoditi,16
istinski,16
nabavljati,16
zapisivati,16
zaželjeti,16
poslovati,16
štampati,16
uspostaviti,16
nagledati,16
dotaći,16
većinom,16
lupetati,16
otpustiti,16
ubrzati,16
ugušiti,16
kladiti,16
zvučati,16
proveravati,16
savesno,16
pretpostavljati,16
vazda,16
boleti,16
prisećati,16
razneti,16
sustizati,16
sem,16
pokajati,16
drugi,16
dočkan,16
uzdati,16
dostaviti,16
odložiti,16
pipati,16
zadovoljno,16
prisluškivati,16
naoružati,16
snebivati,16
svetleti,16
kriknuti,16
raspasti,16
izvaliti,16
gaditi,16
izvoljeti,16
uslediti,16
obožavati,16
nedaleko,16
cepati,16
nemilosrdno,16
prikloniti,15
protumačiti,15
popričati,15
navodno,15
iskrsavati,15
dozvoljavati,15
potegnuti,15
pobijati,15
spopasti,15
namah,15
znojiti,15
osmotriti,15
lepiti,15
ukrcati,15
prividno,15
prikovati,15
nevidljivo,15
obazreti,15
