глагол,общая_частота
nastavati,190
opadati,190
odraditi,190
nadoknaditi,190
pucati,189
dopunjivati,189
zadati,189
smenjivati,189
disati,188
započneti,188
padniti,188
vrednovati,188
predstojati,187
sumirati,187
poslujati,186
sinkronizirati,186
tući,185
vezati,185
oprobati,185
posveti,184
surađivati,184
sagledavati,184
gurati,183
pivati,183
faliti,183
prikažiti,182
procesuirati,182
lečati,182
tolerisati,182
udvostručiti,182
odjaviti,181
vaniti,181
skenirati,181
pozovesti,180
kretiti,180
odmoriti,180
podigneti,180
odbacovati,179
popravljati,179
locirati,179
zastareti,179
narušiti,179
izviniti,179
proizvestiti,178
oprostiti,178
osposobljavati,177
vakcinisati,177
vileti,177
razumjeti,177
svjedočiti,177
usloviti,177
konsultovati,177
saobraćati,177
rekonstruisati,177
setati,176
privesti,175
izvlačiti,175
izmeriti,175
udati,175
prijati,174
tipkiti,174
objediniti,174
prisećati,174
ilustrovati,173
propasti,173
preispitovati,173
proizaći,172
ustupiti,172
puniti,172
učestati,172
uskratiti,172
posluživati,171
otiti,171
terati,171
pogodovati,171
zloupotrebljavati,171
simbolizovati,171
komponovati,170
čistiti,170
kažnjavati,170
sušiti,170
ceniti,169
plivati,169
skidati,169
pripisivati,169
ispisati,169
sirati,169
popustiti,169
boliti,168
izjasti,168
prilaziti,168
ilustrojati,167
parceti,167
proglašavati,167
kandidovati,167
dođiti,166
zaraziti,166
otežati,166
prosleđivati,166
dopreti,166
otpustiti,165
preživjeti,165
produbljivati,165
dočeći,164
progovoriti,164
dotaći,164
šaljetiti,164
prekrivati,164
razmena,164
pomešati,164
suprotstavljati,164
ukidati,164
ometi,163
dodirnuti,163
razdvojiti,163
pomiriti,163
razbiti,162
podležati,162
zapisati,161
propuštati,161
spoznati,161
pobrinuti,161
premašivati,160
održiti,160
ispasti,160
dodirati,160
apelujati,160
žaljati,159
pogrešiti,159
reprodukovati,159
zasnovati,159
oglašavati,158
osporavati,158
sklapati,158
podležiti,157
snalaziti,157
okreniti,157
pokupiti,157
preferirati,157
poklapati,157
revidirati,157
dvati,156
otkupiti,156
mapirati,156
zagađivati,156
skraćivati,155
posredovati,155
pretplatiti,155
sjećati,155
vređati,155
otključati,155
prijeđiti,155
jamčiti,155
publikovati,154
zaživeti,154
ćasti,154
založiti,154
pogoršavati,154
obogaćivati,154
prevarati,153
pišiti,153
doprinijeti,153
vjerivati,153
primijeniti,153
magistrati,153
premjestiti,152
podvući,151
opredeljivati,151
odigravati,151
usuditi,151
transportovati,151
sortirati,151
servirati,151
pakovati,151
grejati,151
predviditi,150
hati,150
upotpunjivati,150
modernizovati,150
uslovljavati,150
proisteći,149
užiti,149
