base_verb,prefixed_verb,prefix,freq_base,freq_base,freq_prefixed,freq_prefixed
secati,presecati,pre,6,37,136,139
vesti,privesti,pri,48,539,136,164
obići,zaobići,za,405,980,135,173
jahati,uzjahati,uz,568,3976,135,135
svući,presvući,pre,237,237,134,134
baviti,izbaviti,iz,1006,7505,134,140
topiti,utopiti,u,216,663,134,140
kupiti,prikupiti,pri,1575,6695,134,242
udarati,zaudarati,za,1023,4106,134,134
bledeti,izbledeti,iz,153,459,134,143
biti,nabiti,na,187140,2256517,134,139
setiti,dosetiti,do,1605,4866,133,271
mašiti,promašiti,pro,215,861,132,138
ticati,zaticati,za,1501,10978,132,135
kopati,ukopati,u,303,1526,132,133
čuti,pročuti,pro,10341,62563,132,133
skočiti,odskočiti,od,982,6922,132,133
dražiti,razdražiti,raz,161,167,131,131
živiti,doživiti,do,2749,8292,131,162
siti,prositi,pro,5,14,131,265
voleti,zavoleti,za,2369,7590,130,135
teći,uteći,u,826,5048,130,131
voditi,uvoditi,u,5046,56924,129,278
vući,dovući,do,1348,14834,129,132
imati,nadimati,nad,29631,130463,129,130
prineti,doprineti,do,287,288,129,859
dubiti,udubiti,u,31,126,129,130
trljati,protrljati,pro,237,476,129,129
ćutati,prećutati,pre,1851,5553,129,130
gaziti,pregaziti,pre,358,1793,128,132
tisnuti,utisnuti,u,7,14,128,128
strašiti,prestrašiti,pre,48,145,128,129
trpati,zatrpati,za,76,305,128,130
lečiti,izlečiti,iz,278,603,128,141
stremiti,ustremiti,u,68,85,127,128
kinuti,ukinuti,u,25,50,127,202
dobiti,zadobiti,za,3333,12439,127,153
nositi,nanositi,na,4409,57916,127,212
zboriti,prozboriti,pro,79,82,126,128
ličiti,priličiti,pri,2067,6252,126,258
stupiti,ustupiti,u,452,2866,124,160
činiti,pričiniti,pri,8487,44291,124,132
mrgoditi,namrgoditi,na,12,12,123,123
koračiti,prekoračiti,pre,9,18,123,137
graditi,nagraditi,na,543,4169,123,154
živiti,preživiti,pre,2749,8292,122,126
dahnuti,izdahnuti,iz,22,88,122,123
valiti,izvaliti,iz,29,261,122,122
pustiti,zapustiti,za,2341,16513,121,121
uzeti,izuzeti,iz,4077,24680,121,134
ostati,zaostati,za,11461,35199,121,125
mrsiti,zamrsiti,za,65,197,120,120
padati,zapadati,za,2594,18264,120,124
biti,zabiti,za,187140,2256517,120,122
drhtati,uzdrhtati,uz,983,1966,119,119
udarati,odudarati,od,1023,4106,119,125
kopati,dokopati,do,303,1526,119,122
noćiti,prenoćiti,pre,33,66,118,119
krstiti,ukrstiti,u,233,472,118,122
viriti,zaviriti,za,362,1811,118,127
metati,razmetati,raz,125,1376,118,119
pušiti,zapušiti,za,940,955,117,118
poručivati,preporučivati,pre,120,186,117,471
braniti,odbraniti,od,1090,2279,116,199
goreti,izgoreti,iz,551,4409,116,125
ostati,izostati,iz,11461,35199,116,147
zvati,prizvati,pri,3963,24025,115,119
vesti,razvesti,raz,48,539,114,120
gledati,nadgledati,nad,11256,135464,114,165
terati,preterati,pre,632,4451,113,115
vratiti,navratiti,na,7699,23788,113,114
izvesti,proizvesti,pro,842,1880,112,244
nervirati,iznervirati,iz,93,99,111,113
kasniti,zakasniti,za,176,191,111,116
bacati,razbacati,raz,1156,2352,110,110
likovati,oblikovati,ob,133,665,110,313
micati,uzmicati,uz,387,3097,110,112
gomilati,nagomilati,na,124,131,110,113
snovati,zasnovati,za,41,41,110,132
viti,priviti,pri,221,2431,109,109
kazati,zakazati,za,16617,101685,109,162
zvati,prozvati,pro,3963,24025,109,116
prezati,naprezati,na,48,99,109,109
manuti,obmanuti,ob,133,133,108,111
viditi,uviditi,u,12663,25581,108,140
tajiti,pritajiti,pri,28,57,108,108
birati,prebirati,pre,474,3615,108,109
gađati,nagađati,na,236,954,107,109
srnuti,nasrnuti,na,23,23,107,111
meriti,zameriti,za,155,1361,106,111
tražiti,pretražiti,pre,5990,13066,106,132
uzimati,preuzimati,pre,1280,9133,106,245
sititi,zasititi,za,18,36,106,106
sipati,prosipati,pro,257,794,104,105
držati,pridržati,pri,5942,30029,104,104
letiti,izletiti,iz,598,4208,103,104
važiti,odvažiti,od,103,438,103,114
pretiti,zapretiti,za,644,2022,103,113
varati,zavarati,za,506,1026,103,108
praviti,upraviti,u,1783,7387,103,104
vezati,privezati,pri,1111,7803,102,104
brusiti,odbrusiti,od,19,41,102,102
liti,obliti,ob,96,961,102,204
hraniti,nahraniti,na,406,1653,101,108
prljati,uprljati,u,60,122,101,102
seliti,useliti,u,108,550,100,106
uzrokovati,prouzrokovati,pro,23,127,100,172
upirati,odupirati,od,174,351,99,99
drmati,prodrmati,pro,45,138,99,105
magliti,zamagliti,za,124,248,99,99
liti,uliti,u,96,961,99,108
putovati,doputovati,do,1115,3580,98,117
žaliti,sažaliti,sa,956,2923,98,99
seliti,odseliti,od,108,550,98,102
moriti,zamoriti,za,149,747,98,99
tući,utući,u,538,2183,97,97
viti,zaviti,za,221,2431,97,97
kašljati,nakašljati,na,128,256,97,97
leteti,izleteti,iz,242,2665,96,99
misliti,promisliti,pro,11168,79097,96,107
visiti,uzvisiti,uz,1019,3061,96,96
liti,zaliti,za,96,961,96,97
pratiti,propratiti,pro,2628,6306,96,104
grliti,obgrliti,ob,360,1082,96,97
računati,izračunati,iz,456,2707,95,135
bivati,dobivati,do,1203,3674,95,130
prtiti,uprtiti,u,23,23,95,98
stupati,zastupati,za,213,1113,95,202
rušiti,narušiti,na,322,1627,95,122
valiti,uvaliti,u,29,261,95,97
baviti,pribaviti,pri,1006,7505,94,140
maknuti,razmaknuti,raz,233,1864,94,94
spavati,prespavati,pre,3002,15366,94,97
plašiti,zaplašiti,za,1454,4443,94,96
platiti,naplatiti,na,1147,3717,94,122
krutiti,ukrutiti,u,49,49,93,93
daviti,zadaviti,za,287,873,93,93
sipati,zasipati,za,257,794,92,94
vijati,previjati,pre,60,722,92,92
viknuti,priviknuti,pri,897,5382,92,92
staviti,dostaviti,do,2536,15573,91,481
šaliti,našaliti,na,524,532,91,93
cediti,procediti,pro,99,99,91,92
mazati,namazati,na,66,397,91,97
dužiti,izdužiti,iz,41,170,91,91
vraćati,navraćati,na,2954,9115,91,92
gunđati,progunđati,pro,197,198,91,91
miriti,izmiriti,iz,265,1330,90,102
roniti,zaroniti,za,41,169,90,96
poznavati,upoznavati,u,2760,5674,90,149
obratiti,preobratiti,pre,1141,1671,89,89
gledati,nagledati,na,11256,135464,89,91
moriti,premoriti,pre,149,747,89,89
uditi,nauditi,na,74,79,89,92
slepiti,zaslepiti,za,164,169,89,89
trpeti,pretrpeti,pre,186,275,89,158
biti,prebiti,pre,187140,2256517,89,90
vrteti,zavrteti,za,334,1014,88,90
lagati,ulagati,u,732,5866,88,296
juriti,dojuriti,do,730,3664,88,89
užiti,odužiti,od,15,35,88,96
vući,podvući,pod,1348,14834,87,107
pečatiti,zapečatiti,za,12,12,87,87
dirati,razdirati,raz,285,1149,87,87
legati,razlegati,raz,26,82,87,87
želiti,zaželiti,za,2427,2494,87,88
terati,proterati,pro,632,4451,87,93
mučiti,namučiti,na,1256,2545,86,86
gurati,ugurati,u,620,4365,86,87
