infinitive_latin,frequency,infinitive_latin_norm
укратко,38,ukratko
žaliti,38,žaliti
putovati,38,putovati
rasti,38,rasti
brinuti,38,brinuti
predložiti,38,predložiti
pomagati,38,pomagati
disati,38,disati
ispuniti,38,ispuniti
mirisati,38,mirisati
veli,38,veli
prilaziti,38,prilaziti
vrteti,38,vrteti
istovremeno,38,istovremeno
pozdraviti,38,pozdraviti
pozivati,38,pozivati
leteti,38,leteti
strpati,38,strpati
uzgred,38,uzgred
обавити,37,obaviti
приближавати,37,približavati
ускоро,37,uskoro
опрезно,37,oprezno
затражити,37,zatražiti
гурати,37,gurati
одлучно,37,odlučno
исписати,37,ispisati
скренути,37,skrenuti
газити,37,gaziti
отимати,37,otimati
naročito,37,naročito
svršiti,37,svršiti
pre,37,pre
obuzeti,37,obuzeti
stvarno,37,stvarno
smesti,37,smesti
sutradan,37,sutradan
бринути,36,brinuti
распитивати,36,raspitivati
избити,36,izbiti
испасти,36,ispasti
указивати,36,ukazivati
изволети,36,izvoleti
бирати,36,birati
послужити,36,poslužiti
изабрати,36,izabrati
обући,36,obući
koračati,36,koračati
leći,36,leći
naučiti,36,naučiti
naterati,36,naterati
сликати,36,slikati
razbiti,36,razbiti
promrmljati,36,promrmljati
uleteti,36,uleteti
mrmljati,36,mrmljati
докле,35,dokle
отпутовати,35,otputovati
наједном,35,najednom
двапут,35,dvaput
пристати,35,pristati
осветлити,35,osvetliti
стезати,35,stezati
летјети,35,letjeti
поднети,35,podneti
уредити,35,urediti
сећи,35,seći
dopirati,35,dopirati
žao,35,žao
retko,35,retko
obećati,35,obećati
ćutke,35,ćutke
uvrediti,35,uvrediti
opaziti,35,opaziti
доказивати,35,dokazivati
mahnuti,35,mahnuti
izdati,35,izdati
izvršiti,35,izvršiti
строго,34,strogo
повезати,34,povezati
скидати,34,skidati
запалити,34,zapaliti
замолити,34,zamoliti
лећи,34,leći
упадати,34,upadati
боловати,34,bolovati
trajati,34,trajati
tužno,34,tužno
odmoriti,34,odmoriti
menjati,34,menjati
prilično,34,prilično
gurati,34,gurati
izbaciti,34,izbaciti
nazad,34,nazad
saslušati,34,saslušati
nasmejati,34,nasmejati
istrčati,34,istrčati
описати,33,opisati
унети,33,uneti
поверити,33,poveriti
чистити,33,čistiti
варати,33,varati
повлачити,33,povlačiti
остварити,33,ostvariti
уверити,33,uveriti
пловити,33,ploviti
одавде,33,odavde
горети,33,goreti
вечерас,33,večeras
prelaziti,33,prelaziti
stvoriti,33,stvoriti
odleteti,33,odleteti
osvrtati,33,osvrtati
ugasiti,33,ugasiti
umirati,33,umirati
otkud,33,otkud
pojavljivati,33,pojavljivati
dopasti,33,dopasti
zaključiti,33,zaključiti
смјети,33,smjeti
полагано,33,polagano
убијати,33,ubijati
доиста,33,doista
дознати,33,doznati
uveriti,33,uveriti
zahtevati,33,zahtevati
пљунути,32,pljunuti
јутрос,32,jutros
ћутке,32,ćutke
изложити,32,izložiti
саопштити,32,saopštiti
лебдети,32,lebdeti
пренети,32,preneti
ниско,32,nisko
весело,32,veselo
дозволити,32,dozvoliti
савијати,32,savijati
занимати,32,zanimati
управљати,32,upravljati
болити,32,boliti
одредити,32,odrediti
пребацити,32,prebaciti
уносити,32,unositi
suviše,32,suviše
uništiti,32,uništiti
spremiti,32,spremiti
jedino,32,jedino
pričekati,32,pričekati
strašno,32,strašno
plašiti,32,plašiti
razmisliti,32,razmisliti
sanjati,32,sanjati
interesovati,32,interesovati
nestajati,32,nestajati
popeti,32,popeti
odneti,32,odneti
нагонити,32,nagoniti
упамтити,32,upamtiti
pristati,32,pristati
održati,32,održati
zateći,32,zateći
preduzeti,32,preduzeti
objaviti,32,objaviti
potvrditi,32,potvrditi
sipati,32,sipati
плести,31,plesti
привући,31,privući
попустити,31,popustiti
поздравити,31,pozdraviti
позивати,31,pozivati
