word,frequency,comment
slobodno,64,не похоже на глагол
otkako,64,не похоже на глагол
odnosno,64,не похоже на глагол
извадити,63,не похоже на глагол
напољу,63,не похоже на глагол
вршити,63,не похоже на глагол
добијати,63,не похоже на глагол
ослободити,63,не похоже на глагол
саставити,63,не похоже на глагол
drago,63,не похоже на глагол
давно,63,не похоже на глагол
uistinu,63,не похоже на глагол
терати,62,не похоже на глагол
додати,62,не похоже на глагол
испунити,62,не похоже на глагол
лично,62,не похоже на глагол
стварати,62,не похоже на глагол
јахати,62,не похоже на глагол
свршити,62,не похоже на глагол
uglavnom,62,не похоже на глагол
смети,61,не похоже на глагол
уосталом,61,не похоже на глагол
устати,61,не похоже на глагол
откуд,61,не похоже на глагол
одвојити,61,не похоже на глагол
градити,61,не похоже на глагол
redovno,61,не похоже на глагол
učtivo,61,не похоже на глагол
otprilike,61,не похоже на глагол
необично,60,не похоже на глагол
продати,60,не похоже на глагол
бавити,60,не похоже на глагол
стећи,60,не похоже на глагол
изазивати,60,не похоже на глагол
одржати,60,не похоже на глагол
zbilja,60,не похоже на глагол
štaviše,60,не похоже на глагол
такође,59,не похоже на глагол
случајно,59,не похоже на глагол
некада,59,не похоже на глагол
noćas,59,не похоже на глагол
izuzetno,59,не похоже на глагол
otuda,59,не похоже на глагол
пружити,58,не похоже на глагол
довољно,58,не похоже на глагол
спуштати,57,не похоже на глагол
помало,57,не похоже на глагол
рачунати,57,не похоже на глагол
појести,57,не похоже на глагол
сметати,57,не похоже на глагол
открити,57,не похоже на глагол
јуче,57,не похоже на глагол
помињати,57,не похоже на глагол
namerno,57,не похоже на глагол
večito,57,не похоже на глагол
nečujno,57,не похоже на глагол
дочно,57,не похоже на глагол
нудити,56,не похоже на глагол
односити,56,не похоже на глагол
сигурно,56,не похоже на глагол
плашити,56,не похоже на глагол
ваљда,56,не похоже на глагол
пронаћи,56,не похоже на глагол
увече,56,не похоже на глагол
дисати,56,не похоже на глагол
учествовати,56,не похоже на глагол
везивати,56,не похоже на глагол
odozgo,56,не похоже на глагол
обратити,55,не похоже на глагол
изговарати,55,не похоже на глагол
dokle,55,не похоже на глагол
ikad,55,не похоже на глагол
posebno,55,не похоже на глагол
спазити,54,не похоже на глагол
обраћати,54,не похоже на глагол
склопити,54,не похоже на глагол
дићи,54,не похоже на глагол
палити,54,не похоже на глагол
оборити,54,не похоже на глагол
напротив,54,не похоже на глагол
донијети,54,не похоже на глагол
признати,54,не похоже на глагол
лево,54,не похоже на глагол
neprekidno,54,не похоже на глагол
gorko,54,не похоже на глагол
odatle,54,не похоже на глагол
крстити,54,не похоже на глагол
опазити,54,не похоже на глагол
редовно,53,не похоже на глагол
изазвати,53,не похоже на глагол
оженити,53,не похоже на глагол
сићи,53,не похоже на глагол
додуше,53,не похоже на глагол
куповати,53,не похоже на глагол
хранити,53,не похоже на глагол
објашњавати,53,не похоже на глагол
повести,53,не похоже на глагол
zbunjeno,53,не похоже на глагол
rđavo,53,не похоже на глагол
stoga,53,не похоже на глагол
izjutra,53,не похоже на глагол
spolja,53,не похоже на глагол
однекуд,52,не похоже на глагол
узвратити,52,не похоже на глагол
сахранити,52,не похоже на глагол
судити,52,не похоже на глагол
оштро,52,не похоже на глагол
лечити,52,не похоже на глагол
nervozno,52,не похоже на глагол
nemoguće,52,не похоже на глагол
покушати,51,не похоже на глагол
неочекивано,51,не похоже на глагол
напред,51,не похоже на глагол
поновити,51,не похоже на глагол
борити,51,не похоже на глагол
заузети,51,не похоже на глагол
угасити,51,не похоже на глагол
будити,51,не похоже на глагол
уверавати,51,не похоже на глагол
napamet,51,не похоже на глагол
дигнути,50,не похоже на глагол
отпочети,50,не похоже на глагол
погодити,50,не похоже на глагол
ходати,50,не похоже на глагол
шетати,50,не похоже на глагол
побећи,50,не похоже на глагол
назвати,50,не похоже на глагол
упознати,50,не похоже на глагол
наилазити,50,не похоже на глагол
избегавати,50,не похоже на глагол
изненада,50,не похоже на глагол
дању,50,не похоже на глагол
посве,50,не похоже на глагол
усправно,50,не похоже на глагол
познати,50,не похоже на глагол
posve,50,не похоже на глагол
uspravno,50,не похоже на глагол
usput,50,не похоже на глагол
ујутру,49,не похоже на глагол
издржати,49,не похоже на глагол
близу,49,не похоже на глагол
одакле,49,не похоже на глагол
продужити,49,не похоже на глагол
допирати,49,не похоже на глагол
утврдити,49,не похоже на глагол
одбијати,49,не похоже на глагол
puno,49,не похоже на глагол
loše,49,не похоже на глагол
blago,49,не похоже на глагол
nekuda,49,не похоже на глагол
dostojanstveno,49,не похоже на глагол
nešto,49,не похоже на глагол
postepeno,49,не похоже на глагол
snažno,49,не похоже на глагол
записати,48,не похоже на глагол
живо,48,не похоже на глагол
набавити,48,не похоже на глагол
примећивати,48,не похоже на глагол
скинути,48,не похоже на глагол
успевати,48,не похоже на глагол
гласити,48,не похоже на глагол
изнети,48,не похоже на глагол
корачати,48,не похоже на глагол
силазити,48,не похоже на глагол
откако,48,не похоже на глагол
вероватно,48,не похоже на глагол
nežno,48,не похоже на глагол
prijatno,48,не похоже на глагол
попити,47,не похоже на глагол
издати,47,не похоже на глагол
повремено,47,не похоже на глагол
високо,47,не похоже на глагол
умирити,47,не похоже на глагол
објавити,47,не похоже на глагол
стога,47,не похоже на глагол
обилазити,47,не похоже на глагол
apsolutno,47,не похоже на глагол
drukčije,47,не похоже на глагол
srećno,47,не похоже на глагол
značajno,47,не похоже на глагол
заспати,47,не похоже на глагол
однети,46,не похоже на глагол
зачути,46,не похоже на глагол
махати,46,не похоже на глагол
проводити,46,не похоже на глагол
дрхтати,46,не похоже на глагол
заустављати,46,не похоже на глагол
unutra,46,не похоже на глагол
zapravo,46,не похоже на глагол
гасити,45,не похоже на глагол
јурити,45,не похоже на глагол
замишљати,45,не похоже на глагол
сложити,45,не похоже на глагол
направити,45,не похоже на глагол
пружати,45,не похоже на глагол
прилазити,45,не похоже на глагол
обећати,45,не похоже на глагол
урадити,45,не похоже на глагол
возити,45,не похоже на глагол
затећи,45,не похоже на глагол
потражити,45,не похоже на глагол
трошити,45,не похоже на глагол
испитивати,45,не похоже на глагол
napola,45,не похоже на глагол
осудити,45,не похоже на глагол
drugačije,45,не похоже на глагол
ишчезнути,44,не похоже на глагол
тицати,44,не похоже на глагол
сакрити,44,не похоже на глагол
плаћати,44,не похоже на глагол
покрити,44,не похоже на глагол
продавати,44,не похоже на глагол
бележити,44,не похоже на глагол
страшно,44,не похоже на глагол
стављати,44,не похоже на глагол
преводити,44,не похоже на глагол
vatreno,44,не похоже на глагол
hladno,44,не похоже на глагол
извршити,44,не похоже на глагол
слагати,44,не похоже на глагол
ретко,43,не похоже на глагол
понудити,43,не похоже на глагол
тући,43,не похоже на глагол
икад,43,не похоже на глагол
малочас,43,не похоже на глагол
виђати,43,не похоже на глагол
предавати,43,не похоже на глагол
затварати,43,не похоже на глагол
покушавати,43,не похоже на глагол
чудити,43,не похоже на глагол
рушити,43,не похоже на глагол
prezrivo,43,не похоже на глагол
ponešto,43,не похоже на глагол
слутити,43,не похоже на глагол
prirodno,43,не похоже на глагол
doista,43,не похоже на глагол
pop,43,не похоже на глагол
рађати,42,не похоже на глагол
поклонити,42,не похоже на глагол
зачудити,42,не похоже на глагол
испуњавати,42,не похоже на глагол
слабо,42,не похоже на глагол
слободно,42,не похоже на глагол
разбити,42,не похоже на глагол
пуцати,42,не похоже на глагол
проговорити,42,не похоже на глагол
нестајати,42,не похоже на глагол
преносити,42,не похоже на глагол
iznutra,42,не похоже на глагол
čudno,42,не похоже на глагол
letelo,42,не похоже на глагол
prijateljski,42,не похоже на глагол
ujutro,42,не похоже на глагол
седати,41,не похоже на глагол
дружити,41,не похоже на глагол
почивати,41,не похоже на глагол
скочити,41,не похоже на глагол
насмејати,41,не похоже на глагол
одржавати,41,не похоже на глагол
схватати,41,не похоже на глагол
мирисати,41,не похоже на глагол
uvis,41,не похоже на глагол
malo-pomalo,41,не похоже на глагол
кратко,40,не похоже на глагол
висити,40,не похоже на глагол
препознати,40,не похоже на глагол
положити,40,не похоже на глагол
избацити,40,не похоже на глагол
одбити,40,не похоже на глагол
доживети,40,не похоже на глагол
