base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,,prefix,base_verb
kopati,zakopati,za,6260,24,,,bušiti
stupiti,pristupiti,pri,6260,9,,,udati
stavljati,sastavljati,sa,6205,66,,,žariti
pomenuti,napomenuti,na,6053,145,,,mrljati
jesti,ujesti,u,5985,214,,,nakaziti
pisati,prepisati,pre,5985,88,,,samariti
pisati,pripisati,pri,5985,15,,,lajati
puštati,upuštati,u,5962,990,,,pomagati
baciti,zabaciti,za,5962,455,,,želeti
skratiti,uskratiti,u,5962,284,,,zvučati
kucati,zakucati,za,5962,1607,,,očit
boleti,zaboleti,za,5962,1122,,,okrenuti
kačiti,zakačiti,za,5962,129,,,žad
davati,zadavati,za,5962,42,,,lizati
diviti,zadiviti,za,5962,37,,,planuti
krcati,ukrcati,u,5916,24,,,djelovati
porediti,uporediti,u,5858,51,,,minuti
leteti,naleteti,na,5714,323,,,razumiti
baviti,zabaviti,za,5687,16,,,zbiti
pasti,prepasti,pre,5649,193,,,prečiti
lupiti,zalupiti,za,5562,285,,,stezati
stupati,nastupati,na,5562,275,,,sesti
vijati,izvijati,iz,5562,144,,,grnuti
lagati,nalagati,na,5549,1331,,,cerekati
hoditi,uhoditi,u,5549,39,,,prositi
crtati,nacrtati,na,5518,2273,,,značiti
dati,uzdati,uz,5518,24,,,okupljati
spavati,uspavati,u,5487,340,,,obući
lagati,odlagati,od,5487,53,,,mračiti
trebati,zatrebati,za,5487,147,,,pominjati
učiti,proučiti,pro,5487,30,,,gostiti
vijati,zavijati,za,5487,96,,,patiti
roniti,uroniti,u,5463,1449,,,dešavati
igrati,zaigrati,za,5463,948,,,voziti
daviti,udaviti,u,5463,138,,,komentarisati
stizati,pristizati,pri,5463,114,,,grditi
lutati,zalutati,za,5463,16,,,gneviti
tovariti,natovariti,na,5463,6,,,hladiti
ustajati,odustajati,od,5396,112,,,veo
lepiti,zalepiti,za,5396,99,,,plivati
vući,razvući,raz,5396,39,,,pleniti
secati,presecati,pre,5396,34,,,krčiti
vesti,privesti,pri,5396,59,,,bistriti
obići,zaobići,za,5396,10,,,brojiti
jahati,uzjahati,uz,5396,7,,,hodati
svući,presvući,pre,5393,1314,,,ležati
baviti,izbaviti,iz,5393,1012,,,škripati
topiti,utopiti,u,5393,346,,,treperiti
kupiti,prikupiti,pri,5393,94,,,duvati
udarati,zaudarati,za,5393,74,,,kostrešiti
bledeti,izbledeti,iz,5393,33,,,močiti
biti,nabiti,na,5376,901,,,cvetati
setiti,dosetiti,do,5261,335,,,boriti
mašiti,promašiti,pro,5261,502,,,gladiti
ticati,zaticati,za,5261,9,,,mrtviti
kopati,ukopati,u,5251,264,,,sukati
čuti,pročuti,pro,5251,57,,,tkati
skočiti,odskočiti,od,5251,135,,,kobiti
dražiti,razdražiti,raz,5251,44,,,okružiti
živiti,doživiti,do,5251,269,,,krpiti
siti,prositi,pro,5236,909,,,šminkati
voleti,zavoleti,za,5236,69,,,hvat
teći,uteći,u,5236,42,,,vejati
voditi,uvoditi,u,5236,10,,,obliti
vući,dovući,do,5210,2683,,,oštriti
imati,nadimati,nad,5210,380,,,zdraviti
prineti,doprineti,do,5210,274,,,dodati
dubiti,udubiti,u,5086,881,,,ogrnuti
trljati,protrljati,pro,5086,165,,,dosetiti
ćutati,prećutati,pre,5086,38,,,lediti
gaziti,pregaziti,pre,5086,17,,,diktirati
tisnuti,utisnuti,u,5086,5,,,češljati
strašiti,prestrašiti,pre,5077,103,,,mileti
trpati,zatrpati,za,5030,1148,,,petljati
lečiti,izlečiti,iz,5006,1024,,,pecati
stremiti,ustremiti,u,5006,802,,,iskati
kinuti,ukinuti,u,5006,449,,,šunjati
dobiti,zadobiti,za,5006,366,,,strujati
nositi,nanositi,na,5006,251,,,brijati
zboriti,prozboriti,pro,5006,212,,,žmiriti
ličiti,priličiti,pri,5006,59,,,zidati
stupiti,ustupiti,u,5006,7,,,svlačiti
činiti,pričiniti,pri,5006,5,,,golicati
mrgoditi,namrgoditi,na,5005,53,,,pojiti
koračiti,prekoračiti,pre,5005,12,,,crveniti
graditi,nagraditi,na,4902,1169,,,skraćivati
živiti,preživiti,pre,4902,160,,,oći
