глагол,частота
ćuti,38
mrziti,38
okarakterisati,37
topasti,37
saopštvavati,37
doseći,37
otkupiti,37
prostiti,37
prilagati,37
posvesti,37
odlagati,37
izbriseti,37
podnijeti,37
adaptirati,37
izvlačiti,37
oženiti,37
razrešiti,37
pogoršavati,37
odstupati,37
dodirivati,37
oslabiti,37
vređati,37
kliknuti,37
užiti,37
preplitati,37
odrastati,36
reciti,36
probavati,36
preostajati,36
mimo,36
ceneti,36
ubacovati,36
portfoliti,36
utjetiti,36
seliti,36
odrisati,36
obračunati,36
diskriminisati,36
crveniti,36
teretiti,36
prikrivati,36
briniti,36
evoluirati,36
pretočiti,36
ispoljiti,36
sufinansirati,36
osmišljavati,36
resetirati,36
smiriti,36
eksploatisati,36
vretati,36
dopunjavati,36
kontrolirati,35
zlostavljati,35
darovati,35
primorati,35
preživljavati,35
masagati,35
grejati,35
preovladavati,35
propuštati,35
graničiti,35
zadužiti,35
odmeriti,35
grešiti,35
skiniti,35
izuzeti,35
zimati,35
provera,35
opuštati,35
modifikovati,35
verifikovati,35
opozvati,35
primeti,35
koordinisati,35
ljutiti,35
odigravati,35
poentirati,35
obavijestiti,35
otkucati,35
uslijediti,35
vilati,35
dodijeliti,35
izbjegavati,35
rezultovati,35
upijati,35
zabrana,34
programirati,34
skidati,34
podučavati,34
pojesti,34
biciti,34
glumiti,34
izbacovati,34
naseliti,34
odvoditi,34
udaljiti,34
osušiti,34
uvjeriti,34
oklevati,34
nameniti,34
predviditi,34
zakazivati,34
mirisati,34
probiti,34
opredeljivati,34
vrijediti,34
osporiti,34
priključivati,34
rukovati,34
osvesti,34
pokvariti,34
dosegnuti,34
nađiti,34
namjeravati,33
istrajati,33
vaditi,33
navijati,33
protumačiti,33
hoteti,33
migrirati,33
osvetliti,33
stanovati,33
izjašnjavati,33
akreditovati,33
producirati,33
strahovati,33
uvežbavati,33
prožimati,33
predstavlјa,33
učestovati,33
usuditi,33
kulminirati,33
edukovati,33
davetiti,33
popivati,33
slomiti,33
pomoziti,33
zakažiti,33
zahvatati,33
stićiti,33
normalizovati,33
zaviriti,32
favorizovati,32
trijumfovati,32
zaključati,32
izjavljivati,32
predjeti,32
posumnjati,32
sreti,32
preispitivati,32
mapirati,32
ukagati,32
uporabiti,32
cijeti,32
jačiti,32
zloupotrebiti,32
zatrebati,32
obnova,32
definirati,32
navesiti,32
gajiti,32
istrajavati,32
žuriti,32
ispuštati,32
vidiš,32
ispisivati,32
dočarati,32
obezbedjivati,32
naseljavati,32
rivasti,32
oformiti,31
ispitivati,31
preokrenuti,31
prijavljiveti,31
dogovarati,31
skreneti,31
stremiti,31
zagrejati,31
ratovati,31
lažiti,31
zaokruživati,31
nadahnuti,31
izglasati,31
podstići,31
opredeti,31
nagoveštavati,31
oporavljati,31
čuvasti,31
razbijati,31
posjeti,31
str.n,31
podjeti,31
transportovati,31
odstupiti,31
značati,31
brineti,31
tranzitirati,31
obrišati,31
smesti,31
zauziti,31
digati,31
povestiti,31
impresionirati,31
osvetljavati,30
poverovati,30
minimizirati,30
glas,30
lokati,30
poverivati,30
opstavati,30
savjetovati,30
smisliti,30
zapasti,30
zapaliti,30
postarati,30
upiti,30
interpretirati,30
podržiti,30
nazirati,30
gasiti,30
suzbiti,30
provjeravati,30
podsjetiti,30
simulirati,30
sudjelivati,30
nadograđivati,30
donestiti,30
ukrašavati,30
propadati,30
iphoniti,30
mrzeti,30
preraditi,30
izračunavati,30
*,30
vučiti,30
zainteresovati,30
ujedinjivati,30
školovati,30
pribavljati,30
pokažiti,29
nastradati,29
konvertovati,29
uvoziti,29
poroditi,29
svideti,29
uskraćivati,29
sečeti,29
oduševljavati,29
poveći,29
izviriti,29
veseti,29
ispravljati,29
gađati,29
izgrađivati,29
mišiti,29
naručivati,29
skladišti,29
kupati,29
oštećivati,29
snižavati,29
raspasti,29
upoređivati,29
uračunati,29
objasti,29
štetiti,29
duvati,29
dodjati,29
dočaravati,29
radujati,29
uzdržati,29
asocirati,29
operisati,29
popričati,28
promišljati,28
ponesiti,28
prisjeti,28
raspitati,28
istopiti,28
uviđati,28
kompletirati,28
trčati,28
kasniti,28
nasmejati,28
e-postiti,28
presuditi,28
otklanjati,28
stopati,28
usuđivati,28
osvežavati,28
balansirati,28
prevazićati,28
udovoljiti,28
sužavati,28
unaprijediti,28
ponestiti,28
razotkrivati,28
pogotovati,28
posviti,28
upuštati,28
dižati,28
