base_verb,prefixed_verb,prefix,cos_global_own_fasttext,cos_prefix_own_fasttext,cos_global_own_word2vec_lemmas,cos_prefix_own_word2vec_lemmas,cos_global_own_fasttext_lemmas,cos_prefix_own_fasttext_lemmas,word2vec_minus_fasttext_global_cos,word2vec_minus_fasttext_prefix_cos,fasttext_lemmas_minus_fasttext_global_cos,fasttext_lemmas_minus_fasttext_prefix_cos,fasttext_lemmas_minus_word2vec_lemmas_global_cos,fasttext_lemmas_minus_word2vec_lemmas_prefix_cos
voditi,zavoditi,za,0.8836827874183655,0.8455171585083008,0.9955520033836364,0.9973811507225036,0.9949842691421508,0.9928632378578186,0.11186921596527089,0.15186399221420277,0.11130148172378529,0.14734607934951782,-0.0005677342414855957,-0.004517912864684948
raditi,proraditi,pro,0.9219371676445008,0.9591327905654908,0.9893007278442384,0.9973523020744324,0.9851734042167664,0.9949817657470704,0.06736356019973755,0.03821951150894154,0.06323623657226551,0.03584897518157959,-0.004127323627472035,-0.0023705363273619495
voditi,odvoditi,od,0.9100944995880128,0.9620551466941832,0.9933147430419922,0.9962971210479736,0.9963259100914,0.9924968481063844,0.08322024345397938,0.034241974353790394,0.08623141050338723,0.03044170141220115,0.003011167049407848,-0.0038002729415892444
raditi,obraditi,ob,0.8816955089569092,0.954557240009308,0.9733171463012696,0.9970853924751282,0.9803301692008972,0.984926700592041,0.09162163734436046,0.0425281524658202,0.09863466024398804,0.030369460582733043,0.0070130228996275745,-0.012158691883087158
raditi,odraditi,od,0.9193586111068726,0.8672621250152588,0.9860224723815918,0.9899885058403016,0.9922500252723694,0.9914727807044984,0.06666386127471924,0.12272638082504284,0.07289141416549683,0.12421065568923961,0.006227552890777588,0.0014842748641967773
kazati,dokazati,do,0.8743012547492981,0.8529544472694397,0.962023675441742,0.9674202799797058,0.99256694316864,0.987799882888794,0.08772242069244396,0.11446583271026611,0.11826568841934193,0.13484543561935425,0.03054326772689797,0.020379602909088135
kazati,prikazati,pri,0.8594154715538025,0.8911027908325195,0.989193558692932,0.9945871233940125,0.9856588244438172,0.9916030764579772,0.12977808713912953,0.10348433256149292,0.12624335289001476,0.10050028562545765,-0.003534734249114768,-0.0029840469360352673
kazati,ukazati,u,0.8567711710929871,0.8854108452796936,0.9822766184806824,0.9858659505844116,0.99123877286911,0.9883004426956176,0.1255054473876953,0.10045510530471802,0.13446760177612294,0.10288959741592396,0.008962154388427623,0.0024344921112059437
kazati,zakazati,za,0.8115555644035339,0.8609000444412231,0.9776550531387328,0.98729807138443,0.993973672389984,0.9975943565368652,0.16609948873519886,0.1263980269432069,0.18241810798645008,0.1366943120956421,0.01631861925125122,0.010296285152435192
videti,uvideti,u,0.9032203555107116,0.903695285320282,0.9546759724617004,0.9587324261665344,0.992315113544464,0.9811721444129944,0.05145561695098888,0.05503714084625244,0.08909475803375244,0.0774768590927124,0.03763914108276356,0.02243971824645996
videti,zavideti,za,0.8993052840232849,0.8464229106903076,0.9863115549087524,0.9810267090797424,0.9967830181121826,0.9861608147621156,0.08700627088546753,0.13460379838943481,0.0974777340888977,0.13973790407180797,0.010471463203430176,0.005134105682373158
misliti,izmisliti,iz,0.9316755533218384,0.9317372441291808,0.9678895473480223,0.9554726481437684,0.9922434091567992,0.981311559677124,0.03621399402618397,0.023735404014587624,0.060567855834960826,0.049574315547943226,0.024353861808776855,0.025838911533355602
misliti,razmisliti,raz,0.8578998446464539,0.8879833221435547,0.9348174333572388,0.871135413646698,0.9869922995567322,0.9793684482574464,0.07691758871078491,-0.01684790849685669,0.12909245491027832,0.09138512611389171,0.05217486619949341,0.1082330346107484
